name,start,end,size
sub_10CE00,0x0010ce00,0x0010cef8,0xf8
sub_10CF00,0x0010cf00,0x0010d064,0x164
sub_10D070,0x0010d070,0x0010d23c,0x1cc
sub_10D240,0x0010d240,0x0010d400,0x1c0
scene_graph_flush_clone_01,0x0010d400,0x0010d534,0x134
scene_node_set_visible_clone_01,0x0010d540,0x0010d5c8,0x88
singleton_lazy_init_y_clone_01,0x0010d5d0,0x0010d6e8,0x118
euler_to_quat_0_clone_01,0x0010d6f0,0x0010d7b0,0xc0
singleton_lazy_init_y_clone_02,0x0010d7b0,0x0010d834,0x84
state_byte_transition_j_1,0x0010d840,0x0010d978,0x138
sub_10D980,0x0010d980,0x0010dbe0,0x260
sub_10DBE0,0x0010dbe0,0x0010dc7c,0x9c
obj_set_fields___29_0,0x0010dc80,0x0010ddd8,0x158
sub_10DDE0,0x0010dde0,0x0010dde8,0x8
sub_10DDF0,0x0010ddf0,0x0010de30,0x40
sub_10DE30,0x0010de30,0x0010de98,0x68
sub_10DEA0,0x0010dea0,0x0010e2c8,0x428
sub_10E2D0,0x0010e2d0,0x0010e390,0xc0
sub_10E390,0x0010e390,0x0010e3d4,0x44
str_copy_n_01,0x0010e3e0,0x0010e5dc,0x1fc
state_byte_transition__clone_01,0x0010e5e0,0x0010e6b4,0xd4
state_byte_transition__clone_02,0x0010e6c0,0x0010e79c,0xdc
sub_10E7A0,0x0010e7a0,0x0010e8b8,0x118
sub_10E8C0,0x0010e8c0,0x0010e9a8,0xe8
sub_10E9B0,0x0010e9b0,0x0010eb0c,0x15c
sub_10EB10,0x0010eb10,0x0010eb68,0x58
sub_10EB70,0x0010eb70,0x0010ec44,0xd4
mem_fill_d_0,0x0010ec50,0x0010eea4,0x254
sub_10EEB0,0x0010eeb0,0x0010ef78,0xc8
state_byte_transition,0x0010ef80,0x0010f24c,0x2cc
get_global_var,0x0010f250,0x0010f258,0x8
obj_set_fields__01,0x0010f260,0x0010f38c,0x12c
sub_10F390,0x0010f390,0x0010f57c,0x1ec
sub_10F580,0x0010f580,0x0010f688,0x108
mem_fill_e_0,0x0010f690,0x0010f7fc,0x16c
str_copy_n_e_clone_01,0x0010f800,0x0010f9d0,0x1d0
get_global_var_b,0x0010f9d0,0x0010f9d8,0x8
mem_fill_f_0,0x0010f9e0,0x0010faa0,0xc0
get_field_val_2,0x0010faa0,0x0010fab8,0x18
str_copy_n,0x0010fac0,0x0010fb48,0x88
str_copy_n_b,0x0010fb50,0x0010fbd8,0x88
sub_10FBE0,0x0010fbe0,0x0010fc40,0x60
sub_10FC40,0x0010fc40,0x0010fca8,0x68
sub_10FCB0,0x0010fcb0,0x0010fcc8,0x18
get_field_val_b_2,0x0010fcd0,0x0010fce8,0x18
obj_set_fields_b_3,0x0010fcf0,0x0010fd48,0x58
get_field_val_c_3,0x0010fd50,0x0010fd74,0x24
noop_wrapper_e_2,0x0010fd80,0x0010fdb0,0x30
get_field_val_d_2,0x0010fdb0,0x0010fdc0,0x10
sub_10FDC0,0x0010fdc0,0x0010fe10,0x50
sub_10FE10,0x0010fe10,0x0010ffe8,0x1d8
get_global_var_c,0x0010fff0,0x0010fff8,0x8
sub_110000,0x00110000,0x00110008,0x8
mem_fill,0x00110010,0x001100b0,0xa0
mem_fill,0x001100b0,0x00110128,0x78
sub_110130,0x00110130,0x00110260,0x130
obj_set_field_pair_c_0_clone_01,0x00110260,0x0011028c,0x2c
sub_110290,0x00110290,0x001102b0,0x20
mem_fill_g_0,0x001102b0,0x001105f8,0x348
obj_set_fields_c_3,0x00110600,0x001106a0,0xa0
sub_1106A0,0x001106a0,0x0011078c,0xec
sub_110790,0x00110790,0x001107ac,0x1c
mem_fill_h_0,0x001107b0,0x00110828,0x78
get_global_var_d,0x00110830,0x00110838,0x8
pool_entry_push_c_0_clone_01,0x00110840,0x0011086c,0x2c
get_global_var_e,0x00110870,0x00110878,0x8
sub_110880,0x00110880,0x00110888,0x8
sub_110890,0x00110890,0x0011092c,0x9c
noop_wrapper_b,0x00110930,0x00110984,0x54
wrap_sub_110990,0x00110990,0x001109a0,0x10
obj_set_fields_3,0x001109a0,0x001109d8,0x38
CMemory_Free,0x001109e0,0x00110b08,0x128
CMemory_Alloc,0x00110b10,0x00110c48,0x138
bitfield_index_assign,0x00110c50,0x00110d44,0xf4
bitfield_index_assign_clone_01,0x00110d50,0x00110e60,0x110
CMemory_Init,0x00110e60,0x001111c8,0x368
noop_wrapper_c,0x001111d0,0x001111e0,0x10
Heap_Dealloc,0x001111e0,0x001111f0,0x10
Heap_Alloc,0x001111f0,0x00111274,0x84
stack_depth_track,0x00111280,0x00111304,0x84
mem_compare_n_0_clone_03,0x00111310,0x00111488,0x178
mem_fill_b,0x00111490,0x00111530,0xa0
mem_fill_i_0,0x00111530,0x001119f4,0x4c4
str_sub_1a00,0x00111a00,0x00111ac8,0xc8
str_sub_89a8_clone_01,0x00111ad0,0x00111bd4,0x104
singleton_lazy_init_0_clone_01,0x00111be0,0x00111d98,0x1b8
str_copy_n_c,0x00111da0,0x0011202c,0x28c
str_copy_n_d,0x00112030,0x00112744,0x714
sub_112750,0x00112750,0x0011293c,0x1ec
str_copy_n_e,0x00112940,0x00112bf4,0x2b4
sub_112C00,0x00112c00,0x00112c74,0x74
sub_112C80,0x00112c80,0x00112cf0,0x70
mem_compare_n_0_clone_04,0x00112cf0,0x00112fa8,0x2b8
mem_compare_n_0_clone_05,0x00112fb0,0x001131b8,0x208
sub_1131C0,0x001131c0,0x001131f4,0x34
sub_113200,0x00113200,0x00113538,0x338
noop_wrapper_f_1,0x00113540,0x00113580,0x40
fighter_track_tick_clone_01,0x00113580,0x0011371c,0x19c
sub_113720,0x00113720,0x001137a4,0x84
sub_113860,0x00113860,0x00113920,0xc0
sub_113920,0x00113920,0x00113aa0,0x180
obj_set_fields___30_0,0x00113aa0,0x00113c60,0x1c0
wrap_wrap_obj_set_flags_clone_01,0x00113c60,0x00113d28,0xc8
sub_113D30,0x00113d30,0x00113d68,0x38
noop_sub_3d70,0x00113d70,0x00113ec8,0x158
return_zero,0x00113ed0,0x00113ee0,0x10
singleton_lazy_init_e_0_clone_01,0x00113ee0,0x00113f34,0x54
sub_113F40,0x00113f40,0x00113fe8,0xa8
j_noop_wrapper___65,0x00113ff0,0x00113ff8,0x8
singleton_lazy_init_0_clone_02,0x00114000,0x001143fc,0x3fc
sub_114400,0x00114400,0x00114870,0x470
PadSysInit_clone_02,0x00114870,0x00114a44,0x1d4
sub_114A50,0x00114a50,0x00114b00,0xb0
singleton_lazy_init_e_0_clone_02,0x00114b00,0x00114b58,0x58
sub_114B60,0x00114b60,0x00114bf4,0x94
sub_114BF8,0x00114bf8,0x00114c44,0x4c
noop_wrapper_g_2,0x00114c48,0x00114c94,0x4c
sub_114C98,0x00114c98,0x00114dc4,0x12c
sub_114DC8,0x00114dc8,0x00114e18,0x50
get_field_val_e_2,0x00114e18,0x00114e20,0x8
sub_114E20,0x00114e20,0x00114fbc,0x19c
